NOC,Year,Total_Athletes,Total_Events,Bronze,Gold,No medal,Silver,Total_Medals,Medal_Efficiency,Previous_medal,Previous_gold,Rolling_3_avg_medal,Medal_growth_rate,Host,Gold_Ratio,Participation_Growth,Rolling_3_Efficiency
AFG,1936,16,4,0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AFG,1948,25,2,0,0,25,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5625,0.0
AFG,1956,12,1,0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.52,0.0
AFG,1956,12,1,0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AFG,1960,16,13,0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0
AFG,1964,8,8,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.5,0.0
AFG,1968,5,5,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.375,0.0
AFG,1972,8,8,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6,0.0
AFG,1980,11,11,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.375,0.0
AFG,1988,5,5,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.5454545454545454,0.0
AFG,1996,2,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6,0.0
AFG,2004,5,5,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.5,0.0
AFG,2008,4,4,1,0,3,0,1,0.25,0.0,0.0,0.3333333333333333,inf,0,0.0,-0.2,0.08333333333333333
AFG,2012,6,6,1,0,5,0,1,0.16666666666666666,1.0,0.0,0.6666666666666666,0.0,0,0.0,0.5,0.13888888888888887
AFG,2016,3,3,0,0,3,0,0,0.0,1.0,0.0,0.6666666666666666,-100.0,0,0.0,-0.5,0.13888888888888887
AFG,2020,5,5,0,0,5,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.6666666666666666,0.05555555555555555
AFG,2024,6,6,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
AHO,1952,11,1,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AHO,1960,5,4,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.5454545454545454,0.0
AHO,1964,4,4,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.2,0.0
AHO,1968,5,4,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,0.0
AHO,1972,2,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6,0.0
AHO,1976,4,4,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
AHO,1984,13,10,0,0,13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.25,0.0
AHO,1988,4,4,0,0,3,1,1,0.25,0.0,0.0,0.3333333333333333,inf,0,0.0,-0.6923076923076923,0.08333333333333333
AHO,1992,4,4,0,0,4,0,0,0.0,1.0,0.0,0.3333333333333333,-100.0,0,0.0,0.0,0.08333333333333333
AHO,1996,7,7,0,0,7,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.75,0.08333333333333333
AHO,2000,8,8,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14285714285714285,0.0
AHO,2004,3,3,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.625,0.0
AHO,2008,4,4,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0
AIN,2024,32,30,1,1,40,4,6,0.1875,0.0,0.0,0.0,0.0,0,0.16666666666666666,0.0,0.0
ALB,1972,5,3,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ALB,1992,9,8,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.0
ALB,1996,9,7,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ALB,2000,5,5,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.4444444444444444,0.0
ALB,2004,7,7,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.0
ALB,2008,12,12,0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7142857142857143,0.0
ALB,2012,10,9,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.16666666666666666,0.0
ALB,2016,6,6,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.4,0.0
ALB,2020,10,10,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6666666666666666,0.0
ALB,2024,8,9,2,0,7,0,2,0.25,0.0,0.0,0.6666666666666666,inf,0,0.0,-0.2,0.08333333333333333
ALG,1964,7,7,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ALG,1968,9,9,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2857142857142857,0.0
ALG,1972,7,5,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.2222222222222222,0.0
ALG,1980,63,28,0,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0
ALG,1984,33,17,2,0,31,0,2,0.06060606060606061,0.0,0.0,0.6666666666666666,inf,0,0.0,-0.47619047619047616,0.020202020202020204
ALG,1988,45,29,0,0,45,0,0,0.0,2.0,0.0,0.6666666666666666,-100.0,0,0.0,0.36363636363636365,0.020202020202020204
ALG,1992,36,27,1,1,34,0,2,0.05555555555555555,0.0,0.0,1.3333333333333333,inf,0,0.5,-0.2,0.03872053872053872
ALG,1996,47,29,1,2,44,0,3,0.06382978723404255,2.0,1.0,1.6666666666666667,50.0,0,0.6666666666666666,0.3055555555555556,0.039795114263199365
ALG,2000,51,42,3,1,46,1,5,0.09803921568627451,3.0,2.0,3.3333333333333335,66.66666666666666,0,0.2,0.0851063829787234,0.07247485282529087
ALG,2004,71,57,0,0,71,0,0,0.0,5.0,1.0,2.6666666666666665,-100.0,0,0.0,0.39215686274509803,0.05395633430677235
ALG,2008,57,44,1,0,55,1,2,0.03508771929824561,0.0,0.0,2.3333333333333335,inf,0,0.0,-0.19718309859154928,0.044375644994840036
ALG,2012,39,29,0,1,38,0,1,0.02564102564102564,2.0,0.0,1.0,-50.0,0,1.0,-0.3157894736842105,0.020242914979757085
ALG,2016,74,48,0,0,72,2,2,0.02702702702702703,1.0,1.0,1.6666666666666667,100.0,0,0.0,0.8974358974358975,0.029251923988766092
ALG,2020,45,43,0,0,45,0,0,0.0,2.0,0.0,1.0,-100.0,0,0.0,-0.3918918918918919,0.017556017556017555
ALG,2024,46,47,1,2,52,0,3,0.06521739130434782,0.0,0.0,1.6666666666666667,inf,0,0.6666666666666666,0.022222222222222223,0.03074813944379162
AND,1976,3,2,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AND,1980,2,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.3333333333333333,0.0
AND,1984,2,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AND,1988,4,3,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
AND,1992,8,5,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
AND,1996,8,7,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AND,2000,5,5,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.375,0.0
AND,2004,6,6,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
